id,latitude,longitude,zipcode,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_id,host_total_listings_count,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification
33159143,32.91736,-117.07635,92131,1,1.0,1.0,1.0,1100.0,1100.0,1000.0,0.0,1,0.0,60,90,249661563,1.0,0,0,96.5,9.725,9.7,9.85,9.75,9.75,9.775,0,1,0,0,0
17138468,32.84067,-117.27443,92037,1,2.0,2.0,3.0,1400.0,1400.0,722.168918918919,219.82292993630574,1,0.0,30,1125,79755951,1.0,2,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
21898446,32.79797,-117.2425,92109,1,1.0,1.0,1.0,1250.0,1250.0,372.4021739130435,123.16245883644346,1,0.0,30,30,159773487,1.0,0,0,95.40642303433002,9.73059866962306,9.493348115299336,9.853496115427303,9.83481152993348,9.875693673695894,9.457777777777778,0,1,0,0,0
25948680,32.77545,-117.05923,92120,1,1.0,1.0,1.0,1150.0,1150.0,227.7319587628866,58.06603773584906,1,0.0,31,40,185758729,1.0,0,0,96.0909090909091,9.747474747474747,9.545454545454545,9.86734693877551,9.848484848484848,9.76530612244898,9.673469387755102,0,0,0,0,0
1756516,32.84619,-117.27558,92037,1,1.0,1.0,1.0,110.0,110.0,200.0,219.82292993630574,1,50.0,180,365,3634860,6.0,2,4,90.0,7.0,7.0,8.0,8.0,9.0,10.0,0,0,0,0,0
33395869,32.93033,-117.13254,92126,1,1.0,1.0,1.0,645.0,645.0,133.63636363636363,47.17610062893082,1,0.0,30,90,89146371,5.0,0,0,96.09868421052632,9.789473684210526,9.631578947368421,9.94078947368421,9.927631578947368,9.81578947368421,9.75,0,1,0,0,0
14139907,32.86547,-117.20862,92122,1,2.5,1.0,1.0,38.0,38.0,288.9423076923077,71.23423423423424,1,0.0,240,1125,15113568,7.0,0,0,94.89855072463769,9.695652173913043,9.545893719806763,9.758454106280194,9.806763285024154,9.922705314009661,9.48792270531401,0,0,0,0,0
28055565,32.77369,-117.14638,92108,1,1.0,0.0,1.0,42.0,42.0,1200.0,50.0,1,0.0,180,1125,11881600,6.0,0,0,94.64864864864865,9.621621621621621,9.45945945945946,9.675675675675675,9.797297297297296,9.675675675675675,9.405405405405405,0,1,0,0,0
19138413,32.72218,-117.15788,92101,1,1.0,1.0,1.0,250.0,7500.0,254.96575342465752,82.79874213836477,2,100.0,30,1125,109738493,1.0,0,0,93.56204379562044,9.627737226277372,9.547445255474452,9.671532846715328,9.620437956204379,9.817518248175183,9.357664233576642,0,0,0,0,0
30342963,32.95787,-117.22101,92130,1,1.0,1.0,1.0,40.0,40.0,712.1621621621622,126.45945945945945,1,0.0,180,1125,227836123,1.0,0,0,97.46875,9.84375,9.84375,9.9375,9.90625,9.84375,9.625,0,0,0,0,0
13617732,32.99062,-117.16605,92127,1,1.0,1.0,1.0,75.0,75.0,1200.0,100.0,1,0.0,90,1125,78843085,1.0,3,6,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
24353011,32.70593,-117.14602,92102,1,1.0,0.0,1.0,5000.0,5000.0,254.5,72.51136363636364,1,0.0,1,1125,1743084,1.0,0,0,93.15555555555555,9.533333333333333,9.533333333333333,9.855555555555556,9.722222222222221,8.866666666666667,9.188888888888888,0,1,0,0,0
9157496,32.7872,-117.23856,92109,1,1.0,1.0,1.0,75.0,4500.0,200.0,50.0,1,15.0,60,365,11028455,1.0,27,54,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
10193983,32.80755,-117.25909,92109,1,1.0,0.0,1.0,65.0,3900.0,150.0,123.16245883644346,1,0.0,60,1125,52360468,1.0,12,24,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
19475019,32.74889,-117.12902,92104,1,1.0,1.0,1.0,127.0,3810.0,200.0,50.0,1,10.0,30,1125,136632243,1.0,5,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
4476609,32.81927,-117.08714,92124,1,1.5,1.0,1.0,750.0,750.0,500.0,20.0,1,0.0,5,100,23226516,1.0,0,0,97.27777777777777,9.777777777777779,9.833333333333334,9.88888888888889,10.0,9.833333333333334,9.777777777777779,0,0,0,0,0
482741,32.75793,-117.14805,92103,1,1.0,1.0,1.0,38.0,38.0,200.0,60.0,1,15.0,90,365,1809198,1.0,17,34,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
19175391,32.72255,-117.16374,92101,1,1.0,1.0,1.0,110.0,3300.0,1000.0,205.0,1,0.0,30,1125,29286398,56.0,0,0,93.56204379562044,9.627737226277372,9.547445255474452,9.671532846715328,9.620437956204379,9.817518248175183,9.357664233576642,0,0,0,0,0
19315576,32.80237,-117.11842,92123,1,1.0,1.0,1.0,115.0,3220.0,180.77319587628867,40.0,1,0.0,28,120,69562398,1.0,0,0,96.63829787234043,9.797872340425531,9.712765957446809,9.872340425531915,9.861702127659575,9.808510638297872,9.691489361702128,0,0,0,0,0
6900465,32.73819,-117.17377,92103,1,2.5,1.0,1.0,99.0,2970.0,500.0,50.0,1,80.0,30,1125,13643691,2.0,7,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
22773314,32.74148,-117.25202,92107,1,1.0,0.0,1.0,95.0,2850.0,200.0,120.0,1,35.0,30,365,6934650,7.0,1,2,80.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
5086710,32.80922,-117.22279,92109,1,1.0,1.0,1.0,90.0,2790.0,300.0,65.0,1,25.0,31,1125,26276925,2.0,17,34,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0
16600726,32.76906,-117.15375,92108,1,1.0,1.0,1.0,30.0,30.0,1000.0,50.0,1,0.0,90,1125,11881600,6.0,2,4,100.0,10.0,10.0,10.0,8.0,8.0,8.0,0,1,0,0,0
13961180,32.77941,-117.15003,92108,1,1.0,1.0,1.0,85.0,2635.0,200.0,35.0,1,0.0,31,120,83181699,1.0,46,92,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
22419752,32.77283,-117.1458,92108,1,1.0,1.0,1.0,27.0,27.0,1000.0,50.0,1,0.0,96,1125,11881600,6.0,1,2,80.0,10.0,6.0,10.0,10.0,10.0,10.0,0,1,0,0,0
4726637,32.80935,-117.2112,92117,1,1.0,1.0,1.0,76.0,2356.0,100.0,60.0,1,15.0,31,260,12098633,3.0,7,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
1127311,32.71724,-117.1322,92102,1,1.0,1.0,1.0,75.0,2250.0,250.0,50.0,1,0.0,30,90,6183960,1.0,215,430,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
2886805,32.94374,-117.23625,92130,1,1.0,1.0,1.0,75.0,2250.0,1000.0,100.0,1,0.0,30,1125,14753013,1.0,8,16,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0
